"total","first_dist","last_dist","name_a","id_a","seasons_a","teams_a","name_b","id_b","seasons_b","teams_b","same_season","already_linked"
0,0,0,"CODY DEMPS",1120,"2026","BEER SHEVA","CODY DEMPS",2543,"2025","BEER SHEVA; ELITZUR NETANYA",FALSE,FALSE
0,0,0,"DAESHON FRANCIS",1070,"2026","BNEI HERZLIYA","DAESHON FRANCIS",6959,"2025","BNEI HERZLIYA",FALSE,FALSE
0,0,0,"DEANDRE PINCKNEY",2116,"2026","MACCABI RAMAT GAN","DEANDRE PINCKNEY",19461,"2025","HAPOEL HAIFA",FALSE,FALSE
0,0,0,"DJ BURNS",1143,"2026","RISHON LEZION","D.J. BURNS",1982,"2026","BNEI HERZLIYA",TRUE,FALSE
0,0,0,"DOR ANAVI",1128,"2026","KIRYAT ATA","DOR ANAVI",16399,"2025","NESS ZIONA",FALSE,FALSE
0,0,0,"DORI SAHAR",1188,"2026","ELIZUR NETANYA","DORI SAHAR",1571,"2025","MACCABI RAMAT GAN",FALSE,FALSE
0,0,0,"DREW CRAWFORD",1084,"2026","MACCABI RAMAT GAN","DREW CRAWFORD",3433,"2025","MACCABI RAMAT GAN",FALSE,FALSE
0,0,0,"EGOR KOULECHOV",2065,"2026","HAPOEL TEL AVIV","EGOR KOULECHOV",7014,"2025","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"ELIJAH CHILDS",1089,"2026","HAPOEL HAEMEK","ELIJAH CHILDS",29735,"2025","GILBOA/GALIL",FALSE,FALSE
0,0,0,"ELIJAH STEWART",1078,"2026","BNEI HERZLIYA","ELIJAH STEWART",29100,"2025","BNEI HERZLIYA",FALSE,FALSE
0,0,0,"ETHAN BURG",2230,"2026","HAPOEL JERUSALEM","ETHAN BURG",5772,"2025","BNEI HERZLIYA",FALSE,FALSE
0,0,0,"FREDERIC BOURDILLON",1981,"2026","BNEI HERZLIYA; MACCABI RAMAT GAN","FREDERIC BOURDILLON",3820,"2025","BNEI HERZLIYA",FALSE,FALSE
0,0,0,"GAL BEITNER",1125,"2026","KIRYAT ATA","GAL BEITNER",29607,"2025","KIRYAT ATA",FALSE,FALSE
0,0,0,"GIL BENI",956,"2025","GILBOA/GALIL","GIL BENI",1261,"2025,2026","HAPOEL TEL AVIV; MACCABI RAMAT GAN",TRUE,FALSE
0,0,0,"GIL NOYOVITCH",1094,"2025,2026","ELITZUR NETANYA; HAPOEL HAEMEK","GIL NOYOVITCH",1680,"2025","HAPOEL HAIFA",TRUE,FALSE
0,0,0,"GUY PALATIN",1030,"2026","HAPOEL TEL AVIV","GUY PALATIN",2500,"2025","HAPOEL TEL AVIV",FALSE,FALSE
0,0,0,"IDAN ZALMANSON",1063,"2026","HAPOEL HOLON","IDAN ZALMANSON",1100,"2025,2026","HAPOEL HOLON; NESS ZIONA",TRUE,FALSE
0,0,0,"ILAY DOLINSKI",833,"2025","ELITZUR NETANYA","ILAY DOLINSKI",1124,"2026","KIRYAT ATA",FALSE,FALSE
0,0,0,"ITAY SEGEV",38,"2025","NESS ZIONA","ITAY SEGEV",1029,"2026","HAPOEL TEL AVIV",FALSE,FALSE
0,0,0,"JARED HARPER",1043,"2026","HAPOEL JERUSALEM","JARED HARPER",11189,"2025","HAPOEL JERUSALEM",FALSE,FALSE
0,0,0,"JAYLEN HOARD",1000,"2026","MACCABI TEL AVIV","JAYLEN HOARD",29030,"2025","MACCABI TEL AVIV",FALSE,FALSE
